cpus_per_task,time_limit,job_name,user_id,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
1,2,job_255,10002,132,41,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,197.24365910616788,26036.16300201416,5.152750015258789,551.1527500152588,236.25031099086854,9686.26275062561,11.152750015258789,422.1527500152588,4,4,21.15696692466736,84.62786769866943,7.156966924667358,36.15696692466736,21.15696692466736,84.62786769866943,7.156966924667358,36.15696692466736
1,1,job_256_test_only,10002,133,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,197.2695175991919,26236.84584069252,1.6604950428009033,552.6604950428009,232.13668551899138,9749.740791797638,1.6604950428009033,423.6604950428009,4,4,22.66435408592224,90.65741634368896,8.664354085922241,37.66435408592224,22.66435408592224,90.65741634368896,8.664354085922241,37.66435408592224
1,1,job_256,10002,133,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,197.30939048394225,26242.14893436432,1.7003679275512695,552.7003679275513,232.17655840374175,9751.415452957153,1.7003679275512695,423.70036792755127,4,4,22.70425009727478,90.81700038909912,8.70425009727478,37.70425009727478,22.70425009727478,90.81700038909912,8.70425009727478,37.70425009727478
1,1,job_257_test_only,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,198.19072359665893,26359.366238355637,2.5817010402679443,553.581701040268,147.20074865931556,9273.64716553688,7.581701040267944,297.58170104026794,4,0,23.586262941360474,94.3450517654419,9.586262941360474,38.586262941360474,0,0.0,0,0
1,1,job_257,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,198.22402447327636,26363.795254945755,2.615001916885376,553.6150019168854,147.234049535933,9275.745120763779,7.615001916885376,297.6150019168854,4,0,23.61832594871521,94.47330379486084,9.61832594871521,38.61832594871521,0,0.0,0,0
1,1,job_258_test_only,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,200.96286743744872,26728.06136918068,5.353844881057739,556.3538448810577,149.97289250010536,9448.292227506638,10.35384488105774,300.35384488105774,4,0,26.3581440448761,105.4325761795044,12.358144044876099,41.3581440448761,0,0.0,0,0
1,1,job_258,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,201.00139254197143,26733.1852080822,5.392369985580444,556.3923699855804,150.01141760462806,9450.719309091568,10.392369985580444,300.39236998558044,4,0,26.396894931793213,105.58757972717285,12.396894931793213,41.39689493179321,0,0.0,0,0
1,1,job_259_test_only,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,201.26094549759887,26767.70575118065,5.651922941207886,556.6519229412079,150.2709705602555,9467.071145296097,10.651922941207886,300.6519229412079,4,0,26.65728497505188,106.62913990020752,12.65728497505188,41.65728497505188,0,0.0,0,0
1,1,job_259,10001,133,63,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,201.29881256684325,26772.742071390152,5.6897900104522705,556.6897900104523,150.3088376294999,9469.456770658493,10.68979001045227,300.68979001045227,4,0,26.694134950637817,106.77653980255127,12.694134950637817,41.69413495063782,0,0.0,0,0
1,2,job_260_test_only,10002,137,43,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,207.71174081398624,28456.508491516113,12.908821105957031,568.908821105957,243.001844361771,10449.079307556152,16.90882110595703,439.90882110595703,4,4,38.91198492050171,155.64793968200684,24.91198492050171,53.91198492050171,38.91198492050171,155.64793968200684,24.91198492050171,53.91198492050171
1,2,job_260,10002,137,43,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,207.74088271690982,28460.500932216644,12.937963008880615,568.9379630088806,243.03098626469458,10450.332409381866,16.937963008880615,439.9379630088806,4,4,38.940892934799194,155.76357173919678,24.940892934799194,53.940892934799194,38.940892934799194,155.76357173919678,24.940892934799194,53.940892934799194
1,1,job_261_test_only,10001,137,66,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,208.51718576981204,28566.85445046425,13.714266061782837,569.7142660617828,156.5779024254192,10334.141560077667,13.714266061782837,313.71426606178284,4,0,39.719099044799805,158.87639617919922,25.719099044799805,54.719099044799805,0,0.0,0,0
